field	reported_value	source_evidence	locator	status	note
organism	Reaumuria soongarica (Song); Reaumuria soongorica (Zhu)	Song et al. 2024, Scientific Data 11:812, DOI 10.1038/s41597-024-03644-y; Zhu et al. 2026, Chinese Bulletin of Botany, DOI 10.11983/CBB25066	Song: Methods, Nucleic acid extraction and quality assessment; Zhu: Methods 1.5-1.7, printed pp.450-451	SUPPORTED_BY_ORIGINAL_DATA_REPORT	Both sources refer to the same study species; preserve source spelling.
tissue	tender leaves	Song et al. 2024, Scientific Data 11:812, DOI 10.1038/s41597-024-03644-y; Zhu et al. 2026, Chinese Bulletin of Botany, DOI 10.11983/CBB25066	Song: Methods, Nucleic acid extraction and quality assessment; Zhu: Methods 1.5-1.7, printed pp.450-451	SUPPORTED_BY_ORIGINAL_DATA_REPORT	The original paper explicitly identifies tender leaves for the salt-treatment short-read libraries.
treatment_compound	Na2SO4	Song et al. 2024, Scientific Data 11:812, DOI 10.1038/s41597-024-03644-y; Zhu et al. 2026, Chinese Bulletin of Botany, DOI 10.11983/CBB25066	Song: Methods, Nucleic acid extraction and quality assessment; Zhu: Methods 1.5-1.7, printed pp.450-451	SUPPORTED_BY_ORIGINAL_DATA_REPORT	This supersedes the historical NaCl entry in the old project provenance file.
treatment_levels	0, 200, and 400 mmol/L Na2SO4	Song et al. 2024, Scientific Data 11:812, DOI 10.1038/s41597-024-03644-y; Zhu et al. 2026, Chinese Bulletin of Botany, DOI 10.11983/CBB25066	Song: Methods, Nucleic acid extraction and quality assessment; Zhu: Methods 1.5-1.7, printed pp.450-451	SUPPORTED_BY_ORIGINAL_DATA_REPORT	CK corresponds to 0 mmol/L.
biological_replicates	3 per treatment	Song et al. 2024, Scientific Data 11:812, DOI 10.1038/s41597-024-03644-y; Zhu et al. 2026, Chinese Bulletin of Botany, DOI 10.11983/CBB25066	Song: Methods, Nucleic acid extraction and quality assessment; Zhu: Methods 1.5-1.7, printed pp.450-451	SUPPORTED_BY_ORIGINAL_DATA_REPORT	ENA resolves CK-1/2/3, S200-1/2/3, and S400-1/2/3.
seed_preparation	10% NaClO for 10 min, rinsed 3-5 times with sterile water, germinated in Petri dishes	Zhu et al. 2026, Chinese Bulletin of Botany, DOI 10.11983/CBB25066	Methods 1.6; PDF page 3	LATER_PROTOCOL_REPORT_ONLY	Reported in Zhu section 1.6, which states that its protocol matches the earlier transcriptome preparation; not independently confirmed for the deposited RNA-seq samples.
transplant_stage	radicle approximately 3 cm	Zhu et al. 2026, Chinese Bulletin of Botany, DOI 10.11983/CBB25066	Methods 1.6; PDF page 3	LATER_PROTOCOL_REPORT_ONLY	Reported in Zhu section 1.6, which states that its protocol matches the earlier transcriptome preparation; not independently confirmed for the deposited RNA-seq samples.
growth_container	9-cm diameter, 13-cm high pots containing nutrient soil; initially 12 seedlings per pot	Zhu et al. 2026, Chinese Bulletin of Botany, DOI 10.11983/CBB25066	Methods 1.6; PDF page 3	LATER_PROTOCOL_REPORT_ONLY	Reported in Zhu section 1.6, which states that its protocol matches the earlier transcriptome preparation; not independently confirmed for the deposited RNA-seq samples.
growth_temperature	Song: 26 degrees C day / 16 degrees C night; Zhu: 25 +/- 3 / 15 +/- 3 degrees C	Song et al. 2024, Scientific Data 11:812, DOI 10.1038/s41597-024-03644-y; Zhu et al. 2026, Chinese Bulletin of Botany, DOI 10.11983/CBB25066	Song: Methods, Nucleic acid extraction and quality assessment; Zhu: Methods 1.5-1.7, printed pp.450-451	SOURCE_SPECIFIC_REPORTS	Original values fall within later reported ranges, but the two accounts should not be merged into a single verified protocol.
photoperiod	Song: 16 h light / 8 h dark; Zhu: 10 h light / 14 h dark	Song et al. 2024, Scientific Data 11:812, DOI 10.1038/s41597-024-03644-y; Zhu et al. 2026, Chinese Bulletin of Botany, DOI 10.11983/CBB25066	Song: Methods, Nucleic acid extraction and quality assessment; Zhu: Methods 1.5-1.7, printed pp.450-451	UNRESOLVED_SOURCE_DISCREPANCY	Both published accounts were checked. Neither resolves the actual photoperiod used for the deposited nine RNA-seq libraries; no author confirmation is available.
light_intensity	approximately 600 mmol m-2 s-1 as printed	Zhu et al. 2026, Chinese Bulletin of Botany, DOI 10.11983/CBB25066	Methods 1.6; PDF page 3	LATER_REPORT_AND_SOURCE_UNIT_QUERY	Reported in Zhu section 1.6, which states that its protocol matches the earlier transcriptome preparation; not independently confirmed for the deposited RNA-seq samples. The printed mmol unit is retained as reported, not silently corrected to micromol.
relative_humidity	60%-70%	Zhu et al. 2026, Chinese Bulletin of Botany, DOI 10.11983/CBB25066	Methods 1.6; PDF page 3	LATER_PROTOCOL_REPORT_ONLY	Reported in Zhu section 1.6, which states that its protocol matches the earlier transcriptome preparation; not independently confirmed for the deposited RNA-seq samples.
seedling_age_at_treatment	8 weeks	Zhu et al. 2026, Chinese Bulletin of Botany, DOI 10.11983/CBB25066	Methods 1.6; PDF page 3	LATER_PROTOCOL_REPORT_ONLY	Reported in Zhu section 1.6, which states that its protocol matches the earlier transcriptome preparation; not independently confirmed for the deposited RNA-seq samples. The three-week harvest in Song refers explicitly to full-length transcriptome sequencing, not an established age for the Na2SO4 short-read experiment.
treatment_delivery	Song: half-strength Hoagland every three days during cultivation; Zhu: salt delivered in Hoagland solution	Song et al. 2024, Scientific Data 11:812, DOI 10.1038/s41597-024-03644-y; Zhu et al. 2026, Chinese Bulletin of Botany, DOI 10.11983/CBB25066	Song: Methods, Nucleic acid extraction and quality assessment; Zhu: Methods 1.5-1.7, printed pp.450-451	SOURCE_SPECIFIC_REPORTS	Reported in Zhu section 1.6, which states that its protocol matches the earlier transcriptome preparation; not independently confirmed for the deposited RNA-seq samples.
treatment_duration	1 week	Zhu et al. 2026, Chinese Bulletin of Botany, DOI 10.11983/CBB25066	Methods 1.6; PDF page 3	LATER_PROTOCOL_REPORT_ONLY	Reported in Zhu section 1.6, which states that its protocol matches the earlier transcriptome preparation; not independently confirmed for the deposited RNA-seq samples.
sampling_and_storage	collected after 1 week, flash-frozen in liquid nitrogen, stored at -80 degrees C	Zhu et al. 2026, Chinese Bulletin of Botany, DOI 10.11983/CBB25066	Methods 1.6; PDF page 3	LATER_PROTOCOL_REPORT_ONLY	Reported in Zhu section 1.6, which states that its protocol matches the earlier transcriptome preparation; not independently confirmed for the deposited RNA-seq samples.
replicate_composition	8 seedlings per biological replicate	Zhu et al. 2026, Chinese Bulletin of Botany, DOI 10.11983/CBB25066	Methods 1.6; PDF page 3	LATER_PROTOCOL_REPORT_ONLY	Reported in Zhu section 1.6, which states that its protocol matches the earlier transcriptome preparation; not independently confirmed for the deposited RNA-seq samples. The biological replicate/library remains the inferential unit; eight plants do not constitute eight independent RNA-seq replicates.
rna_seq_accessions	SRR27540875-SRR27540881 plus SRR27540883-SRR27540884	ENA run metadata retrieved 2026-09-02	ENA library_name and run_accession	VERIFIED_WITH_ACCESSION_CORRECTION	The source paper prints SRR27540875-81, which omits the ENA S400-2 and S400-3 runs; the 3 x 3 design is recovered from ENA metadata.
sequencing_layout	paired-end, 150-bp reads	ENA run metadata retrieved 2026-09-02	library_layout, read_count, base_count	VERIFIED	Each RNA-seq run has base_count/read_count = 300 bases per fragment.
